Problem nbvar max_dom nbconstr max_arity tb2_glb_snc_lap_cputime tb2_glb_snc_lap_bestsol tb2_glb_snc_lap_status tb2_glb_snc_lap_bestbound tb2_glb_snc_lap_nbnodes tb2_glb_sap_cputime tb2_glb_sap_bestsol tb2_glb_sap_status tb2_glb_sap_bestbound tb2_glb_sap_nbnodes tb2_glb_sap_wdeg_cputime tb2_glb_sap_wdeg_bestsol tb2_glb_sap_wdeg_status tb2_glb_sap_wdeg_bestbound tb2_glb_sap_wdeg_nbnodes tb2_glb_sap_wdeg_camb_10_cputime tb2_glb_sap_wdeg_camb_10_bestsol tb2_glb_sap_wdeg_camb_10_status tb2_glb_sap_wdeg_camb_10_bestbound tb2_glb_sap_wdeg_camb_10_nbnodes tb2_glb_snc_sap_cputime tb2_glb_snc_sap_bestsol tb2_glb_snc_sap_status tb2_glb_snc_sap_bestbound tb2_glb_snc_sap_nbnodes tb2_glb_snc_sap_wdeg_cputime tb2_glb_snc_sap_wdeg_bestsol tb2_glb_snc_sap_wdeg_status tb2_glb_snc_sap_wdeg_bestbound tb2_glb_snc_sap_wdeg_nbnodes ortools_cpsat_cputime ortools_cpsat_bestsol ortools_cpsat_status ortools_cpsat_bestbound ortools_cpsat_nbnodes hexaly_cputime hexaly_bestsol hexaly_status hexaly_bestbound hexaly_nbnodes
lipa80a 80 80 3241 80 1200 255183 FEAS 252783 241476 1200 255336 FEAS 253180 683086 1200 255497 FEAS 253184 732916 1200 255494 FEAS 253183 649990 1200 253265 FEAS 253192 206247 1200 253720 FEAS 253191 466513 1200 ? UNK 4.0 20 1200 255016 FEAS 0 21596097
lipa80b 80 80 3241 80 128.965 7763962 OPT 7763962 97 49.948 7763962 OPT 7763962 91 46.085 7763962 OPT 7763962 91 46.74 7763962 OPT 7763962 91 68.264 7763962 OPT 7763962 88 63.72 7763962 OPT 7763962 88 1200 ? UNK 178.0 20 1200 9355874 FEAS 0 21365323
lipa90a 90 90 4096 90 1200 363190 FEAS 360279 158734 137.791 360630 OPT 360630 25125 629.834 360630 OPT 360630 285678 705.243 360630 OPT 360630 207043 106.88 360630 OPT 360630 14210 119.474 360630 OPT 360630 34920 1200 ? UNK 0.0 0 1200 363078 FEAS 0 18402722
lipa90b 90 90 4096 90 260.081 12490441 OPT 12490441 335 87.237 12490441 OPT 12490441 100 80.455 12490441 OPT 12490441 100 81.141 12490441 OPT 12490441 100 119.526 12490441 OPT 12490441 98 110.443 12490441 OPT 12490441 98 1200 ? UNK 0.0 0 1200 15111755 FEAS 0 17235199
nug12 12 12 79 12 0.724 578 OPT 578 11298 0.629 578 OPT 578 9396 0.578 578 OPT 578 8349 0.615 578 OPT 578 8349 0.713 578 OPT 578 10018 0.628 578 OPT 578 9198 1200 586.0 FEAS 528.0 790942 1200 578 FEAS 0 145406796
nug14 14 14 106 14 9.604 1014 OPT 1014 103792 8.242 1014 OPT 1014 81128 6.203 1014 OPT 1014 63766 9.161 1014 OPT 1014 78892 9.356 1014 OPT 1014 88219 6.486 1014 OPT 1014 61777 1200 1028.0 FEAS 72.0 630898 1200 1014 FEAS 0 121805458
nug15 15 15 121 15 27.031 1150 OPT 1150 243035 32.48 1150 OPT 1150 282333 22.245 1150 OPT 1150 202159 29.925 1150 OPT 1150 210546 26.375 1150 OPT 1150 210086 21.406 1150 OPT 1150 186445 1200 1186.0 FEAS 24.0 477854 1200 1150 FEAS 0 112043717
nug16a 16 16 137 16 217.846 1610 OPT 1610 1713932 314.853 1610 OPT 1610 2160571 203.39 1610 OPT 1610 1571705 270.624 1610 OPT 1610 1663457 343.138 1610 OPT 1610 2374559 231.132 1610 OPT 1610 1626576 1200 1652.0 FEAS 32.0 448364 1200 1610 FEAS 0 104624968
nug16b 16 16 137 16 153.3 1240 OPT 1240 1223499 175.253 1240 OPT 1240 1220764 116.832 1240 OPT 1240 839864 138.282 1240 OPT 1240 820800 160.892 1240 OPT 1240 1164888 101.399 1240 OPT 1240 722304 1200 1270.0 FEAS 56.0 397292 1200 1240 FEAS 0 108087205
nug17 17 17 154 17 1200 1732 FEAS 1644 7334822 1200 1732 FEAS 1553 6926192 1200 1732 FEAS 1570 7559483 1200 1734 FEAS 1547 5998944 1200 1732 FEAS 1583 6728719 1090.449 1732 OPT 1732 6802952 1200 1772.0 FEAS 68.0 423166 1200 1732 FEAS 0 97051868
nug18 18 18 172 18 1200 1942 FEAS 1703 6770978 1200 1936 FEAS 1688 6250126 1200 1944 FEAS 1694 6598752 1200 1936 FEAS 1688 5104688 1200 1930 FEAS 1702 5985702 1200 1930 FEAS 1709 6117424 1200 1994.0 FEAS 68.0 384845 1200 1930 FEAS 0 94147368
nug20 20 20 211 20 1200 2574 FEAS 2211 5136626 1200 2580 FEAS 2192 4928226 1200 2570 FEAS 2193 4975865 1200 2574 FEAS 2189 4110129 1200 2584 FEAS 2216 4701225 1200 2574 FEAS 2212 4639640 1200 2630.0 FEAS 36.0 372402 1200 2570 FEAS 0 85815993
nug21 21 21 232 21 1200 2448 FEAS 2030 4668771 1200 2438 FEAS 2014 3642153 1200 2450 FEAS 2020 3745150 1200 2456 FEAS 2015 3215330 1200 2446 FEAS 2029 3707703 1200 2452 FEAS 2035 3947617 1200 2542.0 FEAS 36.0 297189 1200 2438 FEAS 0 80763407
